ISSN,ISSN_L,TITLE
1580-0466,1580-0466,Economic and Business Review
1225-7281,1225-7281,Economic and environmental geology
2307-0331,2307-0331,"Economic and Social Changes: Facts, Trends, Forecast"
2252-6544,2252-6544,Economic Education Analysis Journal
1450-863X,1450-863X,Economic Horizons
2284-8576,2284-8576,Economic Insights: Trends and Challenges
2502-180X,2086-3128,Economic Journal of Emerging Markets
2311-6293,2311-6293,Economic Processes Management
2247-8531,2247-8531,Economic Research Guardian
2255-9930,1691-3078,Economic Science for Rural Development
1871-3351,1871-3351,Economic sociology
2049-3509,2049-3509,Economic Thought
1810-9136,1810-9136,Economica
2312-3435,2312-3435,"Economics	 entrepreneurship	 management."
1864-6042,1864-6042,"Economics : the Open-Access, Open-Assessment e-Journal"
2336-9213,2336-9213,Economics & Economy
2306-3459,2071-789X,Economics & Sociology (Ternopil)
2254-4380,2254-4380,Economics and business letters
1643-5877,1643-5877,Economics and Business Review
2256-0394,2256-0386,Economics and Business
0126-155X,0126-155X,Economics and Finance in Indonesia
2300-0813,2080-9646,Economics and Management
1545-2921,1545-2921,Economics bulletin
2252-6560,2252-6560,Economics Development Analysis Journal
2090-2123,2090-2131,Economics Research International
2252-7001,2252-7001,Educational Management
2348-4128,2348-4128,Eduera international research journal of commerce and management
2310-8584,2310-8584,Electronic institutional repository of the Ukrainian Academy of Banking of the National Bank of Ukraine
1477-7029,1477-7029,Electronic Journal of Business Research Methods
1479-4411,1479-4411,Electronic Journal of Knowledge Management
2310-8347,2310-8347,Electronic Odessa National Economic University institutional repository
0976-7185,0976-7185,ELK Asia Pacific journal of finance and risk management
2394-0409,2394-0409,ELK Asia Pacific journal of human resource management and organisational behaviour
2394-0417,2394-0417,ELK Asia Pacific journal of leadership and innovation management
0976-7193,0976-7193,ELK Asia Pacific journal of marketing and retail management
2347-4408,2347-4734,Elysium journal of engineering research and management
1927-7318,1927-7318,Engineering Management Research
2353-883X,2353-8821,Entrepreneurial Business and Economics Review
1314-0167,1314-0167,Entrepreneurship & Innovation
2310-0079,2310-0079,Entrepreneurship and innovation management journal
2354-0079,2354-0079,Environmental & Socio-economic Studies
1998-6041,1998-6041,Environmental economics
2345-5772,2345-5772,Environmental energy and economics international research
2353-3293,1689-765X,Equilibrium. Quarterly Journal of Economics and Economic Policy
1876-9098,1876-9098,Erasmus journal for philosophy and economics
2376-9459,0896-226X,Essays in Economic and Business History
2311-9772,2311-9772,Ethiopian journal of business and economics
1694-5948,1694-5972,Eurasian Journal of Business and Economics
2148-0206,2148-0206,Eurasian Journal of Business and Management
2148-0192,2148-0192,Eurasian Journal of Economics and Finance
2310-4929,2310-0184,Euro-Asian journal of economics and finance
2261-1738,1967-502X,Euro-Mediterranean economics and finance review
1582-8859,1582-8859,EuroEconomica
2406-2588,2406-2588,European Journal of Applied Economics
2056-6018,2056-6018,"European journal of business	 economics and accountancy."
1804-9699,1804-5839,European Journal of Business and Economics
2053-4019,2053-4019,European journal of business and innovation research
2235-767X,2235-767X,European Journal of Business and Social Sciences (EJBSS)
2411-443X,2411-443X,European journal of contemporary economics and management
1307-6035,1307-6035,European journal of economic and political studies
2519-1284,2519-1284,"European journal of economics, law and social sciences."
2444-877X,2444-877X,European journal of family business
2254-7088,2254-7088,European Journal of Government and Economics
2421-2172,2421-2172,European journal of Islamic finance
2056-5992,2056-5992,European journal of research and reflection in management sciences
2450-8535,2450-8535,European Journal of Service Management
2444-8834,2444-8834,European Research on Management and Business Economics
2109-9480,2109-9480,European review of industrial economics and policy
2443-7832,1977-978X,Eurostat review on national accounts and macroeconomic indicators
2344-6781,2344-6781,Expert Journal of Business and Management
2359-7704,2359-7704,Expert Journal of Economics
2359-7712,2359-7712,Expert Journal of Finance
0354-4699,0354-4699,Facta Universitatis. Series: Economics and Organization
2451-3903,2451-3903,Finance and Management
2059-5999,2059-5999,Finance and Society
2415-928X,2415-9271,Financial and economic review scientific journal of the Magyar Nemzeti Bank
2411-6408,2411-6408,Financial risk and management reviews
1849-241X,1849-241X,FIP: Journal of Finance and Law
2080-7279,2080-7279,Foundations of Management
1673-7431,1673-7431,Frontiers of Business Research in China
2314-7202,2314-7210,Future Business Journal
1088-6931,1088-6931,Global business and finance review
2343-9750,2343-9742,Global Economic Observer
2311-3162,2311-3162,"Global journal of contemporary research in accounting	 auditing and business ethics."
2311-3170,2311-3170,"Global journal of emerging trends in e-business	 marketing and consumer psychology."
2349-4506,2349-4506,Global journal of engineering science and research management
2520-7113,2520-7113,"Global journal of management	 social sciences and humanities."
2519-0091,2519-0091,Global journal of management and social sciences
2345-6086,2345-6086,Global journal of management studies and researches
2311-3189,2311-3189,"Global review of research in tourism	 hospitality and leisure management."
2415-6191,2415-6191,Gulf-Pacific journal of business administration
2191-1991,2191-1991,Health Economics Review
2385-1031,2385-0671,Housing policies and urban economics
2343-7995,2343-7995,Hyperion Economic Journal
2521-5817,2521-5817,Iberoamerican business journal
2346-9161,2346-9161,Iberoamerican Journal of Project Management
2409-6520,2409-6520,IBT journal of business studies
2150-4075,2150-4075,iBusiness
2423-7019,2423-7019,"ICP Business	 economics and finance."
2395-1656,2395-1656,ICTACT journal on management studies
2517-9993,2517-9993,IETI Transactions on Business and Management Sciences
0970-3896,0970-3896,IIMB Management Review
2455-9229,2455-9229,IJRDO - journal of applied management science
2445-9216,2445-9216,Impact of entrepreneurship education in Denmark
1996-3572,1996-3572,Independent business review
2236-269X,2236-269X,Independent Journal of Management & Production
2454-6801,2454-6801,Indian Journal of Commerce
2407-7321,2407-7321,Indonesian Journal of Business and Entrepreneurship
1992-8319,1992-8319,Indus journal of management & social sciences
2224-5758,2224-5758,Information and Knowledge Management
2220-3796,2220-3796,Information Management and Business Review
2255-9086,2255-9086,Information Technology and Management Science
2078-2454,2078-2454,Insurance markets and companies: analyses and actuarial computations
2350-0867,2350-0867,"Intercontinental journal of banking	 insurance and finance."
2350-0840,2350-0840,Intercontinental journal of human resource management
2350-0883,2350-0883,Intercontinental journal of marketing management
2073-7122,2073-7122,Interdisciplinary journal of contemporary research in business
1555-1229,1555-1229,"Interdisciplinary Journal of Information	 Knowledge	 and Management"
2046-7141,2046-7141,Interdisciplinary journal of research in business
2065-8168,2065-8168,Internal Auditing & Risk Management
2393-8048,2393-8048,"International advance journal of engineering	 science & management."
1535-0754,1535-0754,International Business & Economics Research Journal
2549-0303,2549-0303,International Business and Accounting Research Journal
2300-6102,2300-6102,International Business and Global Economy
1913-9004,1913-9004,International Business Research
1313-1141,1313-1141,International Conference e-Management & Business Intelligence
1812-0660,1811-9824,International Economic Policy
1805-7306,1805-7306,International Economics Letters
2008-9643,2008-9643,International economics studies
2374-2089,2374-2089,International finance and banking
1096-7508,1096-7508,International Food and Agribusiness Management Review
2348-4845,2348-4845,International journal & magazine of engineering technology management and research
2348-2249,2348-2249,International journal for multi-disciplinary engineering and business management
2454-9150,2454-9150,International journal for research in engineering application & management
2394-840X,2394-840X,International journal in applied studies & production management
2222-6990,2222-6990,International journal of academic research in business & social sciences
2309-4508,2309-4508,International journal of accounting and economics studies
2347-9558,2347-9558,"International journal of administration in management	 commerce and economics."
2311-0945,2311-0945,International journal of advanced research in business and management
2348-2354,2348-2354,International journal of advanced research in business management and administration
2349-0012,2349-0012,"International journal of advanced research in education	 technology and management."
2394-1766,2394-1766,"International journal of advanced research in engineering	 science & management."
2454-9762,2454-9762,"International journal of advanced research in management	 architecture	 technology & engineering."
2455-6378,2455-6378,International journal of advanced scientific research and management
2454-356X,2454-356X,"International journal of advanced scientific technologies	 engineering and management sciences."
2349-3224,2349-3224,"International journal of advancement in engineering technology	 management & applied science."
2349-4468,2349-4468,"International journal of advances in managemet, economics and entrepreneurship."
2345-5721,2345-5721,International journal of applied economic studies
2347-8608,2347-8608,International journal of applied management & business utility
2454-9940,2454-9940,International journal of applied science engineering and management
2413-3396,2413-3396,International journal of applied sciences and management
2395-0692,2395-0692,"International journal of arts	 humanities and management studies."
2347-7687,2347-7687,"International journal of arts, commerce & education."
2347-694X,2347-694X,"International journal of arts, commerce and humanities."
2410-3500,2410-3500,"International journal of business	 economics and management works."
2312-0916,2312-0916,"International journal of business	 economics and management."
2349-4638,2349-4638,"International journal of business	 management and allied sciences."
2412-8279,2412-8279,"International journal of business	 management and social research."
2309-7892,2309-7892,"International journal of business	 social and scientific research."
2051-8498,2051-848X,International Journal of Business & Economic Development
2412-4346,2412-4346,International journal of business administration and management research
2347-856X,2347-856X,International journal of business and administration research review
2226-5651,2226-5651,International journal of business and behavioral sciences
2408-0101,2408-0098,International Journal of Business and Economic Sciences Applied Research
2455-3921,2455-3921,International journal of business and economics research
2309-0693,2309-0693,International journal of business and innovation
1833-3850,1833-3850,International journal of business and management
1309-8047,1309-8047,International Journal of Business and Management Studies
2336-2197,2336-2197,International Journal of Business and Management
2383-2630,2383-2630,International journal of business and marketing
2412-2432,2412-2432,International journal of business and social science studies
2349-3402,2349-3402,International journal of business management
1753-0296,1753-0296,International Journal of Business Science and Applied Management
2347-2847,2347-2847,International journal of commerce & business studies
2149-9608,2149-9608,International Journal of Commerce and Finance
2455-1627,2455-1627,International journal of commerce and management research
2394-5702,2394-5702,"International journal of commerce, IT and social sciences."
2150-7988,2150-7988,International journal of computer information systems and industrial management applications
2231-5268,2231-5268,International journal of computer science and management studies
2229-6166,2229-6166,International journal of computing and business research
1179-0776,1179-0776,International Journal of Construction Supply Chain Management
1925-4423,1925-4423,International journal of contemporary economics and administrative sciences
2449-8920,2449-8920,International Journal of Contemporary Management
2348-9510,2348-9510,International journal of core engineering and management
2366-0066,2366-0074,International Journal of Corporate Social Responsibility
2312-5985,2312-5985,International journal of current business and social sciences
2230-9608,2230-9608,International journal of data mining and knowledge management process
0975-5705,0975-5705,International journal of database management systems
2223-957X,2223-957X,International Journal of Economic and Environment Geology
2069-5756,2069-5756,International Journal of Economic Behavior
1791-5120,1791-3373,International Journal of Economic Sciences and Applied Research
1804-9796,1804-9796,International Journal of Economic Sciences
1394-7680,1394-7680,"International Journal of Economics	 Management and Accounting."
2310-5232,2310-5232,International journal of economics and empirical research
1916-9728,1916-971X,International Journal of Economics and Finance
2146-4138,2146-4138,International Journal of Economics and Financial Issues
2411-9407,2411-9407,International journal of economics and financial research
2367-8925,2367-8925,International Journal of Economics and Management Systems
2229-6158,2229-6158,International journal of economics and research
2309-0685,2309-0685,International journal of economics and statistics
2348-0386,2348-0386,"International journal of economics, commerce and management"
2410-8588,2073-9729,International journal of electronic commerce studies
2310-2926,2310-2926,International journal of empirical finance
2146-4553,2146-4553,International Journal of Energy Economics and Policy
2056-3272,2056-3272,International journal of energy production and management
2349-1566,2349-1566,"International journal of engineering	 information technology and management studies."
2347-601X,2347-601X,"International journal of engineering	 management	 humanities and social sciences paradigms."
2454-4140,2454-4140,"International journal of engineering	 science and management."
2349-4476,2349-4476,"International journal of engineering	 technology management & applied sciences."
2498-700X,2498-700X,International journal of engineering and management sciences Műszaki és menedzsment tudományi közlemények
1847-9790,1847-9790,International Journal of Engineering Business Management
2349-2058,2349-2058,International journal of engineering research & management
2348-4039,2348-4039,International journal of engineering research and management technology
2349-6193,2349-6193,International journal of engineering sciences & management research
2230-8849,2230-8849,International journal of enterprise computing and business systems
2336-2952,2336-2960,International Journal of Entrepreneurial Knowledge
2251-645X,2251-645X,"International journal of finance	 accounting and economics studies"
2147-4486,2147-4486,International Journal of Finance & Banking Studies
2310-3256,2310-2942,International journal of financial economics
2149-3766,2147-8988,International Journal of Food and Agricultural Economics
2348-7216,2348-7216,International journal of futuristic trends in management studies
2322-5939,2322-5939,International Journal of Health Policy and Management
2476-4698,2476-4698,International journal of human capital in urban management
2233-4165,2233-4165,International Journal of Industrial Distribution and Business
2409-1871,2409-1871,International journal of industrial engineering & management science
2408-9710,2408-9710,International journal of industrial engineering and management science
2345-4822,2345-4822,International journal of industrial engineering and supply chain management
2076-9202,2076-9202,"International journal of information	 business and management."
2074-9023,2074-9031,International journal of information engineering and electronic business
2225-9163,2225-9163,International journal of information management sciences
2182-7788,2182-7796,International Journal of Information Systems and Project Management
2348-4918,2348-4918,International journal of innovation in engineering research and management
2310-4031,2310-4031,International journal of innovative and applied finance
2350-0557,2350-0557,International journal of innovative research in engineering and management
2455-7188,2455-7188,International journal of innovative research in management studies
2149-8407,2149-8407,International Journal of Islamic Economics and Finance Studies
2455-2771,2455-2771,International journal of law and management studies
2412-0642,2412-0642,"International journal of management	 accounting & economics."
2383-2126,2383-2126,"International journal of management	 accounting and economics"
2304-1366,2304-1366,"International journal of management	 economics & social sciences."
2232-5107,2232-5697,"International Journal of Management	 Knowledge and Learning"
0719-6644,0719-6644,International journal of management & social studies
2056-757X,2056-757X,International journal of management and applied research
2228-7019,2228-7019,International Journal of Management and Business Research
2230-9519,2230-9519,International journal of management and business studies
2348-7585,2348-7585,International journal of management and commerce innovations
2543-5361,2299-9701,International Journal of Management and Economics
2305-2600,2305-2600,International journal of management and organizational studies
2349-6738,2349-6738,International journal of management and social science research review
2231-0703,2231-0703,International journal of management and strategy
2223-5604,2223-5604,International journal of management research and emerging sciences
2345-637X,2345-637X,International journal of management sciences and  economic
2310-2829,2310-2829,International journal of management sciences
2348-3954,2348-3954,International journal of marketing and financial management
2455-7749,2455-7749,"International journal of mathematical	 engineering and management sciences."
2310-2527,2310-2527,International journal of modern business issues of global market
1849-0581,1849-0581,International journal of multidisciplinarity in business and science
2451-1064,2450-2146,International Journal of New Economics and Social Sciences
2367-931X,2367-931X,International Journal of New Studies in Management Research
2309-8023,2309-8023,International journal of operations and logistics management
2310-6913,2310-6913,International journal of pharmaceutical sciences and business management
2340-4876,2340-5317,International Journal of Production Management and Engineering
2525-3654,2525-3654,International Journal of Professional Business Review
2392-5809,2392-5809,International Journal of Public and Private Management
2363-7021,2363-7021,International Journal of Quality Innovation
2349-7807,2349-7807,"International journal of recent research in commerce	 economics and management."
2455-2240,2455-2240,"International journal of research	 science	 technology & management."
2348-6627,2348-6627,International journal of research aspects of engineering and management
2147-4478,2147-4478,International Journal of Research In Business and Social Science
2394-5923,2394-5923,International journal of research in business studies and management
2394-5036,2394-5036,"International journal of research in cloud engineering	 management & allied science."
2347-7539,2347-7539,International journal of research in engineering technology and management
2348-6503,2348-6503,International journal of research in management & business studies
2347-5943,2347-5943,International journal of research in management sciences
2455-7595,2455-7595,International journal of research in management studies
2454-7875,2454-7875,"International journal of research publications in engineering	 technology and management."
2349-5197,2349-5197,International journal of research science & management
2243-7770,2243-7770,International Journal of Research Studies in Management
2348-0823,2348-0823,International journal of science engineering & management research
2349-3771,2349-3771,International journal of scientific research and management studies
2477-1929,2477-1929,International journal of social and local economic governance
2455-8834,2455-8834,International journal of social science and economic research
2383-0239,2383-0239,International journal of social science and management
2411-7323,2411-7323,International journal of social science management and entrepreneurship
2411-4731,2411-4731,International journal of social sciences and management studies
2383-1359,2383-1359,International Journal of Supply and Operations Management
2246-2929,2246-2929,International Journal of Sustainable Energy Planning and Management
2231-6868,2231-6868,International journal of transformation in business management
2538-1628,2538-1628,International journal of urban management and energy sustainability
2349-5677,2349-5677,International jouurnal of business quantitative economics and applied management research
2451-1668,2451-1668,International Marketing and Management of Innovations
2229-6891,2229-6891,International research journal of applied finance
2322-083X,2322-083X,International research journal of business and management
2411-3646,2411-3646,International research journal of business and social science
2089-6271,2089-6271,International Research Journal of Business Studies
2348-9766,2348-9766,International research journal of management and commerce
2250-1959,2250-1959,International research journal of management sciences & technology
2147-964X,2147-964X,International research journal of management sciences
2349-0314,2349-0314,International research journal of marketing and economics
2306-9007,2306-9007,International review of management and business research
2146-4405,2146-4405,International Review of Management and Marketing
2308-2372,2308-2372,International SAMANM journal of business and social sciences
2308-2356,2308-2356,International SAMANM journal of finance and accounting
2308-2399,2308-2399,International SAMANM journal of marketing and management
2535-0005,2535-0005,International Scientific Conference High Technologies. Business. Society
1314-6327,1314-6327,International Scientific Conference Management and Engineering
2306-7748,2306-7748,International strategic management review
2432-552X,2432-552X,Internet journal for society for social management systems
1810-4967,1810-4967,Investment management & financial innovations
2251-8223,2251-8223,Iranian Journal of Information Processing & Management
2008-7055,2008-7055,Iranian Journal of Management Studies
2009-6208,2009-6208,Irish journal of arts management & cultural policy
2221-5239,2221-5239,Islamic banking and finance review
2411-3395,2411-3395,Islamic economic studies
2090-8938,2090-8938,ISRN Economics
2367-6647,2367-6655,IUC Management Review
2193-8997,2193-8997,IZA Journal of Labor Economics
2450-114X,2450-114X,Jagiellonian Journal of Management
2070-0296,2070-0296,Jinnah business review
2308-9946,2308-9946,Jordan journal of economic sciences
2394-837X,2394-837X,Journal for advanced research in commerce and management studies
1998-1279,1998-1279,"Journal for language, technology & entrepreneurship in Africa."
2300-0945,1733-3911,Journal for Perspectives of Economic Political and Social Integration
2149-0996,2149-0996,"Journal of Accounting	 Finance and Auditing Studies"
1984-9648,1984-9648,Journal of Aerospace Technology and Management
2214-8523,2214-8515,Journal of African trade
1899-5241,1899-5241,Journal of Agribusiness and Rural Development
2407-814X,2407-814X,Journal of Agribusiness and Rural Development Research
1074-0708,1074-0708,Journal of Agricultural and Applied Economics
2382-9907,2382-9907,Journal of applied business and finance researches
1843-6110,1843-6110,Journal of Applied Economic Sciences
1927-033X,1927-033X,Journal of applied economics and business research
2193-5181,2193-5181,Journal of applied research in business and economics
2066-5482,2066-5482,Journal of Applied Research in Finance
2288-4637,2288-4637,"Journal of Asian Finance	 Economics and Business"
2383-1170,2383-1170,Journal of Asset Management and Financing
2339-2886,2339-2886,"Journal of Auditing	 Finance and Forensic Accounting"
2353-6845,2353-6845,Journal of Banking and Financial Economics
2078-9424,2078-9424,Journal of Business
2384-4663,2384-4663,Journal of business & statistical analysis
2315-7755,2315-7755,Journal of Business and Economic Management
2305-1825,2305-1825,Journal of business and finance
2070-0156,2070-0156,Journal of business and management dynamics
1751-8202,1751-8202,Journal of business and retail management research
1992-271X,1992-271X,Journal of business and technology
2246-2465,2246-2465,Journal of Business Models
2521-5302,2521-5302,Journal of business sciences
1993-5765,1993-5765,Journal of business strategies
2152-1034,2152-1034,Journal of business studies quarterly
2233-369X,2233-369X,Journal of Business
2392-0726,2392-0726,Journal of Capital Market and Behavioral Finance
2336-9205,1800-9581,Journal of Central Banking Theory and Practice
2195-9897,2195-9897,Journal of Chinese management
2454-1702,0973-4503,Journal of commerce and trade
2410-406X,2410-406X,Journal of contemporary management sciences
2392-2680,2392-2680,Journal of Corporate Responsibility and Leadership
2351-6186,2351-6186,Journal of creativity and business innovation
2379-9463,2379-9463,Journal of Economic & Financial Studies
2322-0511,2322-0503,Journal of economic and financial modelling
1995-7076,1995-7076,Journal of economic and financial sciences
1849-3327,1849-3327,Journal of Economic and Social Development (Varaždin)
1986-8502,1986-8499,Journal of Economic and Social Studies
2285-3642,2285-3642,"Journal of Economic Development, Environment and People"
2301-7341,2301-7341,Journal of Economic Education
2008-7306,2008-7306,Journal of Economic Geology
2313-335X,2313-335X,Journal of economic info
2193-2409,2193-2409,Journal of Economic Structures
2087-3735,2087-3735,"Journal of Economics	 Business & Accountancy"
2077-1886,2077-1886,"Journal of economics	 finance and administrative science."
2220-6140,2220-6140,Journal of Economics and Behavioral Studies
2069-9476,2068-3537,Journal of Economics and Business Research
2148-8347,2148-8347,Journal of economics and political economy
2312-2978,2312-2978,Journal of economics and social sciences
2149-2387,2149-2387,Journal of economics bibliography
2149-2379,2149-2379,Journal of economics library
2310-3280,2310-3140,Journal of empirical economics
2221-6529,2221-6529,"Journal of Engineering	 Project	 and Production Management"
2338-3925,2338-3925,Journal of Engineering and Management in Industrial System
2217-8147,2217-8147,Journal of Engineering Management and Competitiveness
2299-7075,2299-7326,"Journal of Entrepreneurship	 Management and Innovation"
2068-7729,2068-7729,Journal of Environmental Management and Tourism
2385-7137,2385-7137,Journal of Evolutionary Studies in Business
2405-9188,2405-9188,Journal of Finance and Data Science
2367-5810,2367-5810,Journal of Financial and Actuarial Mathematics and Management
2282-717X,2282-717X,Journal of financial management markets and institutions
2167-9533,2167-9533,Journal of Financial Risk Management
2377-2999,2377-2999,Journal of global economic analysis
2251-7316,2228-7566,Journal of Global Entrepreneurship Research
2344-4150,2344-4150,Journal of Heterodox Economics
2328-4862,2328-4862,Journal of Human Resource and Sustainability Studies
1335-3888,1335-3888,Journal of Human Resource Management
2541-5395,1907-7947,Journal of Indonesian Applied Economics
2085-8272,2085-8272,Journal of Indonesian Economy and Business
2013-0953,2013-0953,Journal of Industrial Engineering and Management
2476-308X,2476-308X,Journal of industrial engineering and management studies
1807-1775,1807-1775,Journal of Information Systems and Technology Management
2443-2555,2443-2555,Journal of Information Systems Engineering and Business Intelligence
2468-4376,2468-4376,Journal of Information Systems Engineering and Management
2192-5372,2192-5372,Journal of Innovation and Entrepreneurship
2032-7129,,Journal of Innovation Economics
2183-0606,2183-0606,Journal of Innovation Management
2190-3387,2190-3387,"Journal of intellectual property, information technology and electronic commerce law."
2001-015X,2001-015X,Journal of Intelligence Studies in Business
